year,era,round,race_name,team,driver,teammate,pair,lap_number,lap_time_s,compound,tyre_life,stint,position
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,42.0,96.343,HARD,15.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,43.0,96.304,HARD,16.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,44.0,96.564,HARD,17.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,45.0,96.243,HARD,18.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,46.0,96.379,HARD,19.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,47.0,96.298,HARD,20.0,3.0,9.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,48.0,97.325,HARD,21.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,49.0,96.871,HARD,22.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,50.0,96.541,HARD,23.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,51.0,96.763,HARD,24.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,52.0,96.934,HARD,25.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,53.0,96.64,HARD,26.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,54.0,96.693,HARD,27.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,55.0,96.68,HARD,28.0,3.0,10.0
2024,2022-2024,1,Bahrain Grand Prix,Aston Martin,STR,ALO,ALO-STR,56.0,96.582,HARD,29.0,3.0,10.0
